file,agent,temperature,max_iter,llm,dataset,initial_new,final_new,initial_old,final_old,improvement_new,improvement_old,generalization_gap_initial,generalization_gap_final,exec_time,tokens_used,iterations,success
improver_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_73ebd228.yaml,improver,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.5225,0.72125,0.70375,0.25749999999999995,-0.01749999999999996,0.45624999999999993,0.18125000000000002,19.018728,915,1,True
planexecute_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_e59fe3c3.yaml,plan_execute,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.265,0.72125,0.72125,0.0,0.0,0.45624999999999993,0.45624999999999993,115.36966466903687,11516,0,True
baseline_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_362778cf.yaml,baseline,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.265,0.72125,0.72125,0.0,0.0,0.45624999999999993,0.45624999999999993,24.902769804000854,1219,1,True
slow_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_d1043b72.yaml,slow,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.5225,0.72125,0.70375,0.25749999999999995,-0.01749999999999996,0.45624999999999993,0.18125000000000002,180.04252,51123,1,True
tot_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_9e249b73.yaml,tot,0.9,1,llama-3.1-8b-instruct,nasa-FD002,,0.51,,0.6825,,,,0.1725,13.31844449043274,2684,1,True
fast_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_bdee1e11.yaml,fast,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.5225,0.72125,0.70375,0.25749999999999995,-0.01749999999999996,0.45624999999999993,0.18125000000000002,12.171459,610,1,True
selfdiscovery_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_77921d11.yaml,self_discovery,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.265,0.72125,0.72125,0.0,0.0,0.45624999999999993,0.45624999999999993,28.277790069580078,4268,1,True
react_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_f2488f5c.yaml,react,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.5125,0.72125,0.6925,0.24749999999999994,-0.028749999999999942,0.45624999999999993,0.18000000000000005,73.84948897361755,3287,1,True
reflection_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_nasa-FD002_fec1590f.yaml,reflection,0.9,1,llama-3.1-8b-instruct,nasa-FD002,0.265,0.47625,0.72125,0.695,0.21125,-0.026249999999999996,0.45624999999999993,0.21874999999999994,150.35033679008484,10225,1,True
