agent,total_runs,successful_runs,success_rate,avg_final_new,std_final_new,se_final_new,min_final_new,max_final_new,avg_final_old,std_final_old,se_final_old,min_final_old,max_final_old,avg_improvement_new,std_improvement_new,se_improvement_new,min_improvement_new,max_improvement_new,avg_improvement_old,std_improvement_old,se_improvement_old,min_improvement_old,max_improvement_old,avg_generalization_gap_initial,std_generalization_gap_initial,se_generalization_gap_initial,min_generalization_gap_initial,max_generalization_gap_initial,avg_generalization_gap_final,std_generalization_gap_final,se_generalization_gap_final,min_generalization_gap_final,max_generalization_gap_final,avg_exec_time,std_exec_time,se_exec_time,min_exec_time,max_exec_time,avg_tokens_used,std_tokens_used,se_tokens_used,min_tokens_used,max_tokens_used,avg_iterations,std_iterations,se_iterations,min_iterations,max_iterations,improvement_per_token,improvement_per_second,avg_final_combined,se_final_combined
baseline,1,1,1.0,0.7333333333333333,,0.0,0.7333333333333333,0.7333333333333333,0.86,,0.0,0.86,0.86,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,13.552891969680786,,0.0,13.552891969680786,13.552891969680786,1742.0,,0.0,1742,1742,1.0,,0.0,1,1,0.0,0.0,0.7966666666666666,0.0
fast,1,1,1.0,0.8333333333333334,,0.0,0.8333333333333334,0.8333333333333334,0.87,,0.0,0.87,0.87,0.10000000000000009,,0.0,0.10000000000000009,0.10000000000000009,0.010000000000000009,,0.0,0.010000000000000009,0.010000000000000009,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,0.036666666666666625,,0.0,0.036666666666666625,0.036666666666666625,15.531804,,0.0,15.531804,15.531804,655.0,,0.0,655,655,1.0,,0.0,1,1,0.15267175572519098,0.00643840213281085,0.8516666666666667,0.0
improver,1,1,1.0,0.8333333333333334,,0.0,0.8333333333333334,0.8333333333333334,0.8933333333333333,,0.0,0.8933333333333333,0.8933333333333333,0.06666666666666665,,0.0,0.06666666666666665,0.06666666666666665,0.0033333333333332993,,0.0,0.0033333333333332993,0.0033333333333332993,0.1233333333333333,,0.0,0.1233333333333333,0.1233333333333333,0.05999999999999994,,0.0,0.05999999999999994,0.05999999999999994,3.726365,,0.0,3.726365,3.726365,843.0,,0.0,843,843,1.0,,0.0,1,1,0.07908264136022142,0.017890535861802764,0.8633333333333333,0.0
plan_execute,1,1,1.0,0.7333333333333333,,0.0,0.7333333333333333,0.7333333333333333,0.86,,0.0,0.86,0.86,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,113.26718783378601,,0.0,113.26718783378601,113.26718783378601,16599.0,,0.0,16599,16599,0.0,,0.0,0,0,0.0,0.0,0.7966666666666666,0.0
react,1,1,1.0,0.8,,0.0,0.8,0.8,0.88,,0.0,0.88,0.88,0.06666666666666676,,0.0,0.06666666666666676,0.06666666666666676,0.020000000000000018,,0.0,0.020000000000000018,0.020000000000000018,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,0.07999999999999996,,0.0,0.07999999999999996,0.07999999999999996,313.335871219635,,0.0,313.335871219635,313.335871219635,31666.0,,0.0,31666,31666,1.0,,0.0,1,1,0.00210530748015748,0.00021276423413371746,0.8400000000000001,0.0
reflection,1,1,1.0,0.8,,0.0,0.8,0.8,0.8733333333333333,,0.0,0.8733333333333333,0.8733333333333333,0.06666666666666676,,0.0,0.06666666666666676,0.06666666666666676,0.013333333333333308,,0.0,0.013333333333333308,0.013333333333333308,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,0.07333333333333325,,0.0,0.07333333333333325,0.07333333333333325,41.74339580535889,,0.0,41.74339580535889,41.74339580535889,5742.0,,0.0,5742,5742,1.0,,0.0,1,1,0.011610356437942662,0.0015970590168926388,0.8366666666666667,0.0
self_discovery,1,1,1.0,0.7333333333333333,,0.0,0.7333333333333333,0.7333333333333333,0.86,,0.0,0.86,0.86,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,0.1266666666666667,,0.0,0.1266666666666667,0.1266666666666667,129.23942971229553,,0.0,129.23942971229553,129.23942971229553,5180.0,,0.0,5180,5180,1.0,,0.0,1,1,0.0,0.0,0.7966666666666666,0.0
slow,1,1,1.0,0.8333333333333334,,0.0,0.8333333333333334,0.8333333333333334,0.8933333333333333,,0.0,0.8933333333333333,0.8933333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.05999999999999994,,0.0,0.05999999999999994,0.05999999999999994,0.05999999999999994,,0.0,0.05999999999999994,0.05999999999999994,144.56211,,0.0,144.56211,144.56211,45229.0,,0.0,45229,45229,1.0,,0.0,1,1,0.0,0.0,0.8633333333333333,0.0
tot,1,1,1.0,0.8,,0.0,0.8,0.8,0.84,,0.0,0.84,0.84,,,,,,,,,,,,,,,,0.039999999999999925,,0.0,0.039999999999999925,0.039999999999999925,55.71468544006348,,0.0,55.71468544006348,55.71468544006348,3308.0,,0.0,3308,3308,1.0,,0.0,1,1,,,0.8200000000000001,0.0
