file,agent,temperature,max_iter,llm,dataset,initial_new,final_new,initial_old,final_old,improvement_new,improvement_old,generalization_gap_initial,generalization_gap_final,exec_time,tokens_used,iterations,success
tot_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_f8c9a081.yaml,tot,0.9,1,llama-3.1-8b-instruct,financial,,0.8,,0.9133333333333333,,,,0.11333333333333329,25.153024673461914,2949,1,True
improver_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_73bc59c4.yaml,improver,0.9,1,llama-3.1-8b-instruct,financial,0.8333333333333334,0.8833333333333333,0.91,0.9166666666666666,0.04999999999999993,0.006666666666666599,0.07666666666666666,0.033333333333333326,6.783769,878,1,True
selfdiscovery_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_aa5a8549.yaml,self_discovery,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.7166666666666667,0.9133333333333333,0.9133333333333333,0.0,0.0,0.19666666666666666,0.19666666666666666,42.42396831512451,4968,1,True
reflection_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_fe7c1244.yaml,reflection,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.7166666666666667,0.9133333333333333,0.9133333333333333,0.0,0.0,0.19666666666666666,0.19666666666666666,56.92464351654053,19796,0,True
fast_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_eec568df.yaml,fast,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.8,0.9133333333333333,0.9066666666666666,0.08333333333333337,-0.00666666666666671,0.19666666666666666,0.10666666666666658,14.550423,721,1,True
slow_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_faed8fe0.yaml,slow,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.8333333333333334,0.9133333333333333,0.9116666666666666,0.1166666666666667,-0.0016666666666667052,0.19666666666666666,0.07833333333333325,142.03491,49917,1,True
baseline_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_c47d59e8.yaml,baseline,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.7166666666666667,0.9133333333333333,0.9133333333333333,0.0,0.0,0.19666666666666666,0.19666666666666666,10.264739274978638,1912,1,True
react_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_16356b16.yaml,react,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.5666666666666667,0.9133333333333333,0.7866666666666666,-0.15000000000000002,-0.1266666666666667,0.19666666666666666,0.21999999999999997,76.51423335075378,19601,1,True
planexecute_temp_0.9_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_0b6839fc.yaml,plan_execute,0.9,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.7166666666666667,0.9133333333333333,0.9133333333333333,0.0,0.0,0.19666666666666666,0.19666666666666666,66.40860724449158,14444,0,True
